name,email,role,password
Madison Jackson,madison.jackson@xyz-company.com,DevEngineer,Y7zC03gRiA@
Andrea Wilkinson,andrea.wilkinson@xyz-company.com,DevEngineer,ugcdecDbar@
April Cox,april.cox@xyz-company.com,Trainee,uPPI8oDq7u@
Rachel Smith,rachel.smith@xyz-company.com,LinuxAdmin,JaGO7j1u34#
Casey Johnson,casey.johnson@xyz-company.com,DBA,8JPIDlZOaf#
James Eaton,james.eaton@xyz-company.com,Trainee,jixN8VbWO4#
Edward Decker,edward.decker@xyz-company.com,LinuxAdmin,UOuH2ecPZy#
Justin Brown,justin.brown@xyz-company.com,DevEngineer,sAFojr4ywi#
Casey Ritter,casey.ritter@xyz-company.com,CloudAdmin,Ioc9iK#SbE#
David Walker,david.walker@xyz-company.com,DBA,pND4OsTudq@
Miguel Little,miguel.little@xyz-company.com,Trainee,fqm9XrDiDH@#
Victor Gardner,victor.gardner@xyz-company.com,LinuxAdmin,5vzN#6qc#$
Jerry Barnes,jerry.barnes@xyz-company.com,CloudAdmin,ZK#5VUIUlj
Debra Hernandez,debra.hernandez@xyz-company.com,LinuxAdmin,ZzLMX#xu#L
Michelle Walters,michelle.walters@xyz-company.com,LinuxAdmin,31FnQszQNO!
Shannon Baker,shannon.baker@xyz-company.com,CloudAdmin,wNNZBYSxv0!
Doris Frost,doris.frost@xyz-company.com,DevEngineer,gNEcTd9B1p!
Austin Harper,austin.harper@xyz-company.com,DevEngineer,dToW9ROcpE!
Kimberly Curtis,kimberly.curtis@xyz-company.com,DevEngineer,$xgcMog$4f
Anthony Flores,anthony.flores@xyz-company.com,CloudAdmin,RB3ntfFnPy@
William Harris,william.harris@xyz-company.com,LinuxAdmin,K9shAHsvPM#
Amber Taylor,amber.taylor@xyz-company.com,Trainee,RQ8uDRy472@
Mark Sullivan,mark.sullivan@xyz-company.com,Trainee,HXPB88I0I7@
Angela Mitchell,angela.mitchell@xyz-company.com,DBA,ZIPh#VypH$
Ashley Santiago,ashley.santiago@xyz-company.com,DevEngineer,jKQyJR$Yz7
Tiffany Moss,tiffany.moss@xyz-company.com,DBA,$0eNRmaAo0
Tricia Booth,tricia.booth@xyz-company.com,DevEngineer,z#oqJWXNQu
Sean Bowen,sean.bowen@xyz-company.com,DBA,o#YpcIjIMu
William Randolph,william.randolph@xyz-company.com,CloudAdmin,HjciWJd1$w!
Richard Woods,richard.woods@xyz-company.com,CloudAdmin,hiO9xF8ApU!
Sandra Cook,sandra.cook@xyz-company.com,CloudAdmin,nyuQeye1Cj!
Roger Brown,roger.brown@xyz-company.com,DBA,nIo#2ctPzO
Adrienne Johnson,adrienne.johnson@xyz-company.com,DevEngineer,5uqvUxR2vk!
Paul Matthews,paul.matthews@xyz-company.com,Trainee,Rs@HWl@ukS
James Rogers,james.rogers@xyz-company.com,Trainee,v1eZbcGHeY!
Heather Chambers,heather.chambers@xyz-company.com,Trainee,xz3RYqfepo!
Mark Fisher,mark.fisher@xyz-company.com,DBA,xvny6ZkG4A@
Jordan Dalton,jordan.dalton@xyz-company.com,CloudAdmin,aJyz4W#UlA
John Owen,john.owen@xyz-company.com,DBA,A@kTxmUtW6
Marc Herrera,marc.herrera@xyz-company.com,DBA,iPaA@rsZni
Jonathon Evans,jonathon.evans@xyz-company.com,Trainee,W@kKBAfZob
Preston Rivera,preston.rivera@xyz-company.com,LinuxAdmin,WOj1qbRUBe#
